eid,cite,Title
2-s2.0-49349085693,0,15
2-s2.0-50049092703,0,12
2-s2.0-84871966722,0,9
2-s2.0-84878263645,0,9
2-s2.0-37849039005,0,10
2-s2.0-71449125110,0,13
2-s2.0-84884621286,0,10
2-s2.0-38149000193,5,4
2-s2.0-38049009570,0,6
2-s2.0-41249100224,28,3
2-s2.0-38149120506,0,13
2-s2.0-47649091687,1,4
2-s2.0-46449116074,5,8
2-s2.0-38349028873,0,16
2-s2.0-51149123030,0,20
2-s2.0-38049187881,2,8
2-s2.0-38149045083,0,7
2-s2.0-47249155198,0,8
2-s2.0-49949094603,2,8
2-s2.0-42549107938,11,18
2-s2.0-51849101958,0,6
2-s2.0-49349087074,1,7
2-s2.0-40949129121,2,16
2-s2.0-40949087188,2,9
2-s2.0-47649109220,2,15
2-s2.0-44949120588,4,9
2-s2.0-84887347472,0,8
2-s2.0-52249098107,1,13
2-s2.0-38349166226,0,7
2-s2.0-46749150638,0,8
2-s2.0-38349169319,0,11
2-s2.0-47349087257,0,12
2-s2.0-38049146002,1,13
2-s2.0-84869753601,0,15
2-s2.0-77954291463,0,7
2-s2.0-36849083542,141,6
2-s2.0-39749122048,22,21
2-s2.0-38049177913,4,7
2-s2.0-38349014805,0,11
2-s2.0-35948944937,55,11
2-s2.0-35448996964,33,6
2-s2.0-38349029219,0,12
2-s2.0-33847693072,0,11
2-s2.0-38149075952,1,4
2-s2.0-38949084863,0,11
2-s2.0-46849112443,2,12
2-s2.0-50049133996,0,10
2-s2.0-38349088634,21,10
2-s2.0-38049088183,0,14
2-s2.0-38049012421,0,16
2-s2.0-51749086855,0,14
2-s2.0-58449111239,0,6
2-s2.0-84900960940,0,7
2-s2.0-56149098474,1,8
2-s2.0-84900956064,0,2
2-s2.0-84900943741,0,4
2-s2.0-34548560604,2,10
2-s2.0-84900948824,0,5
2-s2.0-84900961769,0,4
2-s2.0-79959342259,0,14
2-s2.0-84900904435,0,6
2-s2.0-38449089398,1,15
2-s2.0-84900643601,1,12
2-s2.0-84901539176,0,7
2-s2.0-84900590785,0,6
2-s2.0-84900961962,0,3
2-s2.0-84885633794,1,5
2-s2.0-47749085287,38,1
2-s2.0-84886036192,0,13
2-s2.0-38149096356,2,15
2-s2.0-84892351308,0,4
2-s2.0-53249156742,11,14
2-s2.0-41449101433,0,11
2-s2.0-62249189746,1,11
2-s2.0-38449110822,7,22
2-s2.0-39749127805,3,10
2-s2.0-44449093584,8,18
2-s2.0-38149123945,0,18
2-s2.0-38049108166,0,18
2-s2.0-38049173082,0,18
2-s2.0-49949107068,0,18
2-s2.0-49949115959,0,18
2-s2.0-39149118351,0,18
2-s2.0-49949089700,0,18
2-s2.0-41149121623,2,5
2-s2.0-38449085048,0,18
2-s2.0-84900924804,0,4
2-s2.0-38049162044,0,18
2-s2.0-38149046626,0,18
2-s2.0-38349015067,0,18
2-s2.0-38149052957,0,18
2-s2.0-38149088692,0,18
2-s2.0-38149065949,0,18
2-s2.0-38149075383,0,18
2-s2.0-38149088712,0,18
2-s2.0-38149082754,0,18
2-s2.0-38149015341,0,18
2-s2.0-38049169185,0,18
2-s2.0-38149028416,0,18
2-s2.0-38149043337,0,18
2-s2.0-38149061951,0,18
2-s2.0-38049148346,0,18
2-s2.0-38149016954,0,18
2-s2.0-38349018616,0,18
2-s2.0-53149085938,0,20
2-s2.0-56749175531,0,18
2-s2.0-38149097054,0,18
2-s2.0-38049185063,0,18
2-s2.0-84871834720,0,3
2-s2.0-38149069653,0,18
2-s2.0-38049120042,0,18
2-s2.0-38049097799,0,18
2-s2.0-38049011368,0,18
2-s2.0-38549177090,0,18
2-s2.0-38149009061,0,18
2-s2.0-38049098678,0,18
2-s2.0-38049174356,0,18
2-s2.0-38149024799,0,18
2-s2.0-38148998846,0,18
2-s2.0-38149094831,0,18
2-s2.0-38049066978,0,18
2-s2.0-38149122199,0,18
2-s2.0-38349002590,0,18
2-s2.0-38049046092,0,18
2-s2.0-38049060539,0,18
2-s2.0-38149113633,0,18
2-s2.0-38049105472,0,18
2-s2.0-38449101191,0,18
2-s2.0-38549176410,0,18
2-s2.0-38349049577,0,18
2-s2.0-38149008907,0,18
2-s2.0-49949089867,0,18
2-s2.0-38149074016,0,18
2-s2.0-38049051212,0,18
2-s2.0-38049035886,0,18
2-s2.0-38149086672,0,18
2-s2.0-38149095758,0,18
2-s2.0-38349054358,0,18
2-s2.0-38149133213,0,18
2-s2.0-38449111610,0,18
2-s2.0-38149027670,0,18
2-s2.0-39149100664,0,18
2-s2.0-38049173995,0,18
2-s2.0-38149134596,0,18
2-s2.0-38149016865,0,18
2-s2.0-40449111098,12,7
2-s2.0-38049023109,0,18
2-s2.0-38149041697,0,18
2-s2.0-38049098579,0,18
2-s2.0-38149094003,0,18
2-s2.0-38149141802,0,18
2-s2.0-84900945181,0,10
2-s2.0-38149012324,0,18
2-s2.0-38149008858,0,18
2-s2.0-38149047685,0,18
2-s2.0-38049021956,0,18
2-s2.0-38149118169,0,18
2-s2.0-38149050513,0,18
2-s2.0-38549145339,0,18
2-s2.0-49949114022,0,18
2-s2.0-38049084041,50,18
2-s2.0-38349051424,0,18
2-s2.0-38349081039,0,18
2-s2.0-38149045787,0,18
2-s2.0-49949087439,0,18
2-s2.0-38149030080,0,18
2-s2.0-38149079791,0,18
2-s2.0-38149070166,0,18
2-s2.0-34548074431,0,18
2-s2.0-84900969714,0,5
2-s2.0-38149098546,0,18
2-s2.0-38149030186,0,18
2-s2.0-40549138402,0,8
2-s2.0-38049153264,0,18
2-s2.0-38049162140,0,18
2-s2.0-38049184811,0,18
2-s2.0-38049017004,0,18
2-s2.0-38149090268,0,18
2-s2.0-49949097489,0,18
2-s2.0-38149056656,0,18
2-s2.0-38149007122,0,18
2-s2.0-38549100072,0,18
2-s2.0-38049060657,0,18
2-s2.0-38049093091,0,18
2-s2.0-38149013963,0,18
2-s2.0-38049174278,0,18
2-s2.0-38049068081,0,18
2-s2.0-38149096110,0,18
2-s2.0-38049120157,0,18
2-s2.0-84900934685,0,4
2-s2.0-38149120936,0,18
2-s2.0-38149116156,0,18
2-s2.0-49949106268,0,18
2-s2.0-38049110142,0,18
2-s2.0-37849041721,0,18
2-s2.0-38049136392,0,18
2-s2.0-38049079330,0,18
2-s2.0-38149074804,0,18
2-s2.0-38149095004,0,18
2-s2.0-38049161662,0,18
2-s2.0-38149034507,0,18
2-s2.0-38149084115,0,18
2-s2.0-37649019726,16,14
2-s2.0-38549120133,0,18
2-s2.0-38049120156,0,18
2-s2.0-38049115382,0,18
2-s2.0-38349022236,0,18
2-s2.0-38049088259,0,18
2-s2.0-38049095766,0,18
2-s2.0-38149066137,0,18
2-s2.0-38349058651,0,18
2-s2.0-38049170868,0,18
2-s2.0-38149097709,0,18
2-s2.0-37849000970,0,18
2-s2.0-38149048611,0,18
2-s2.0-38049060468,0,18
2-s2.0-38049132143,0,18
2-s2.0-37849010077,0,18
2-s2.0-38149039426,0,18
2-s2.0-38149013905,0,18
2-s2.0-38349051434,0,18
2-s2.0-38049166464,0,18
2-s2.0-37849030236,0,18
2-s2.0-84900952277,0,7
2-s2.0-38049110604,0,18
2-s2.0-38149131393,0,18
2-s2.0-38149133110,0,18
2-s2.0-38049144227,0,18
2-s2.0-38149019892,0,18
2-s2.0-38149016089,0,18
2-s2.0-38049055833,0,18
2-s2.0-38049161285,0,18
2-s2.0-38049093251,0,18
2-s2.0-38149125562,0,18
2-s2.0-38149046528,0,18
2-s2.0-38049013819,0,18
2-s2.0-37849021347,0,18
2-s2.0-38149052223,0,18
2-s2.0-38049006075,0,18
2-s2.0-37849043415,0,18
2-s2.0-38449121125,0,18
2-s2.0-38049181161,0,18
2-s2.0-38149086692,0,18
2-s2.0-38349074188,0,18
2-s2.0-38049115181,0,18
2-s2.0-38149043512,0,18
2-s2.0-84871942852,0,14
2-s2.0-38149016333,0,18
2-s2.0-37849037777,0,18
2-s2.0-38149095778,0,18
2-s2.0-38549121259,0,18
2-s2.0-38149017747,0,18
2-s2.0-37249026250,0,18
2-s2.0-38049067233,0,18
2-s2.0-38149062900,0,18
2-s2.0-84882498225,0,15
2-s2.0-38749141815,0,14
2-s2.0-37849000902,0,18
2-s2.0-38049008572,0,18
2-s2.0-56749150006,0,18
2-s2.0-38149038562,0,18
2-s2.0-38148998709,0,18
2-s2.0-38349033453,0,18
2-s2.0-38049119881,0,18
2-s2.0-38049044970,0,18
2-s2.0-37249078233,0,18
2-s2.0-36048978879,2,7
2-s2.0-38549112652,0,25
2-s2.0-49949116552,0,18
2-s2.0-38149035774,0,18
2-s2.0-38549166603,0,18
2-s2.0-38149101784,0,18
2-s2.0-38349017069,0,18
2-s2.0-38149004452,0,18
2-s2.0-36949039923,1,19
2-s2.0-59349115133,2,13
2-s2.0-38449112705,0,18
2-s2.0-38149101737,0,18
2-s2.0-39149130725,0,18
2-s2.0-47549097349,0,12
2-s2.0-38149110468,0,18
2-s2.0-38049055727,0,18
2-s2.0-38449106684,0,18
2-s2.0-38349071684,0,18
2-s2.0-38449107156,0,18
2-s2.0-38149055781,0,18
2-s2.0-49049100245,0,12
2-s2.0-38549096263,0,18
2-s2.0-38149090106,0,18
2-s2.0-38049144260,0,18
2-s2.0-38549116105,0,18
2-s2.0-38049004869,0,18
2-s2.0-38149089458,0,18
2-s2.0-57349107100,0,10
2-s2.0-38049111025,0,18
2-s2.0-38349030686,0,18
2-s2.0-38149003729,0,18
2-s2.0-38149058923,0,18
2-s2.0-38149037071,0,18
2-s2.0-38049138530,0,18
2-s2.0-38149059027,0,18
2-s2.0-38149006268,0,18
2-s2.0-38149030780,0,18
2-s2.0-38049132750,0,18
2-s2.0-38149030058,0,18
2-s2.0-38049105655,0,18
2-s2.0-84871218685,0,9
2-s2.0-38149137195,0,18
2-s2.0-38149067476,0,18
2-s2.0-38049055344,0,18
2-s2.0-38049161054,0,18
2-s2.0-50049123389,0,18
2-s2.0-38549140512,0,18
2-s2.0-38049177757,0,18
2-s2.0-38049094327,0,18
2-s2.0-38049080256,0,18
2-s2.0-57349151040,12,14
2-s2.0-40549083680,7,13
2-s2.0-38049033396,0,18
2-s2.0-38049032875,0,18
2-s2.0-38149109255,0,18
2-s2.0-38049014507,0,18
2-s2.0-38049075248,0,18
2-s2.0-38349075944,0,18
2-s2.0-38549152481,0,18
2-s2.0-38149025458,0,18
2-s2.0-38049050810,0,18
2-s2.0-38149079969,0,18
2-s2.0-38149016316,0,18
2-s2.0-38149140098,0,18
2-s2.0-38149041797,0,18
2-s2.0-38149077346,0,18
2-s2.0-38048998636,0,18
2-s2.0-37849009130,0,18
2-s2.0-38149120380,0,18
2-s2.0-38149019150,0,18
2-s2.0-84856978377,0,9
2-s2.0-49949104663,0,18
2-s2.0-38049009352,0,18
2-s2.0-38149035263,0,18
2-s2.0-38049002388,0,18
2-s2.0-38149097734,0,18
2-s2.0-38149106448,0,18
2-s2.0-38149114125,0,18
2-s2.0-38049076488,0,18
2-s2.0-38549168870,0,18
2-s2.0-38049160056,0,18
2-s2.0-38049110517,0,18
2-s2.0-38349030520,0,18
2-s2.0-38349057459,0,18
2-s2.0-38049110810,0,18
2-s2.0-38149092445,0,18
2-s2.0-38049113607,0,18
2-s2.0-38549133355,0,18
2-s2.0-38149090175,0,18
2-s2.0-38049144763,0,18
2-s2.0-38549155647,0,18
2-s2.0-38049003194,0,18
2-s2.0-49049087711,0,13
2-s2.0-38149120446,0,18
2-s2.0-84900961593,0,7
2-s2.0-38449097365,0,18
2-s2.0-38049075644,0,18
2-s2.0-38149097732,0,18
2-s2.0-38049161803,0,18
2-s2.0-38049144772,0,18
2-s2.0-38049013329,0,18
2-s2.0-38049113087,0,18
2-s2.0-38049073906,0,18
2-s2.0-39649099968,0,18
2-s2.0-38349042431,0,18
2-s2.0-38149096329,0,18
2-s2.0-38349047990,0,18
2-s2.0-38149005582,0,18
2-s2.0-38049110422,0,18
2-s2.0-38049002414,0,18
2-s2.0-38349044393,0,18
2-s2.0-37849008519,0,18
2-s2.0-38049110080,0,18
2-s2.0-37849007194,0,18
2-s2.0-38049068747,0,18
2-s2.0-43749102470,3,5
2-s2.0-37549068195,0,4
2-s2.0-38049120476,0,18
2-s2.0-38049187788,0,18
2-s2.0-38049177609,0,18
2-s2.0-38149021516,0,18
2-s2.0-37849050597,0,18
2-s2.0-38149109897,0,18
2-s2.0-57649149876,2,14
2-s2.0-47649126881,1,7
2-s2.0-48349133970,9,9
2-s2.0-38149140838,0,12
2-s2.0-84879575130,0,9
2-s2.0-49049113880,3,16
2-s2.0-49349108749,0,10
2-s2.0-37849047019,1,4
2-s2.0-46749134318,0,9
2-s2.0-44949123574,1,9
2-s2.0-47649111171,0,7
2-s2.0-49349108980,2,10
2-s2.0-84883516848,0,12
2-s2.0-47949132563,0,13
2-s2.0-47649106227,3,14
2-s2.0-38349049172,0,6
2-s2.0-84877431213,0,9
2-s2.0-35649007860,42,17
2-s2.0-62749159466,0,12
2-s2.0-39049137331,0,8
2-s2.0-36549064679,19,7
2-s2.0-38349077092,0,7
2-s2.0-38049037014,0,8
2-s2.0-47249098910,0,12
2-s2.0-36249013650,8,9
2-s2.0-84892155566,0,11
2-s2.0-46749119794,2,6
2-s2.0-44949108132,12,8
2-s2.0-37849051013,0,11
2-s2.0-38149138056,26,10
2-s2.0-84873628414,0,14
2-s2.0-44849119104,0,8
2-s2.0-37549060585,15,15
2-s2.0-38049068859,1,21
2-s2.0-38149059725,0,9
2-s2.0-38149041850,0,10
2-s2.0-84883026208,0,5
2-s2.0-38049055815,0,11
2-s2.0-38149091546,0,8
2-s2.0-50249119717,0,9
2-s2.0-84893483286,0,9
2-s2.0-38449086404,4,15
2-s2.0-62449241973,0,12
2-s2.0-47049089606,0,9
2-s2.0-38049005437,1,7
2-s2.0-47649133654,0,16
2-s2.0-51149089745,10,11
2-s2.0-45949106782,10,6
2-s2.0-36949032098,36,9
2-s2.0-47849118465,0,12
2-s2.0-38449121747,2,9
2-s2.0-78549253153,0,8
2-s2.0-34548587904,1,11
2-s2.0-57649202270,1,8
2-s2.0-38049019886,0,14
2-s2.0-41149138927,1,6
2-s2.0-47649094875,1,5
2-s2.0-44049108104,4,8
2-s2.0-38049179210,0,11
2-s2.0-38049115155,0,3
2-s2.0-51549105538,0,11
2-s2.0-84887013057,0,9
2-s2.0-84878137427,0,6
2-s2.0-60649095294,14,9
2-s2.0-46449137248,0,9
2-s2.0-37849011249,1,11
2-s2.0-53149099747,3,9
2-s2.0-84864045468,53,3
2-s2.0-49049106086,2,16
2-s2.0-38349032884,4,14
2-s2.0-38349013066,1,15
2-s2.0-47349099353,1,8
2-s2.0-38049026335,1,11
2-s2.0-47349114777,2,12
2-s2.0-49749085512,0,10
2-s2.0-38049151252,5,14
2-s2.0-49949101860,0,6
2-s2.0-46449101717,0,9
2-s2.0-47249111757,0,11
2-s2.0-38349004810,0,15
2-s2.0-38049123963,2,10
2-s2.0-36749083029,4,11
2-s2.0-79955287435,1,7
2-s2.0-36949027330,28,7
2-s2.0-49049116313,5,13
2-s2.0-47649116551,4,9
2-s2.0-47349133362,4,6
2-s2.0-36448934105,29,8
2-s2.0-47649123571,8,7
2-s2.0-47349116100,0,10
2-s2.0-38349010772,0,10
2-s2.0-49049083645,0,8
2-s2.0-57649233394,3,10
2-s2.0-47649118851,0,19
2-s2.0-41749115775,0,10
2-s2.0-38549090517,3,9
2-s2.0-38049185278,1,10
2-s2.0-47349101074,2,4
2-s2.0-38049153181,4,18
2-s2.0-47649124329,5,15
2-s2.0-38349016569,0,14
2-s2.0-37549011736,11,7
2-s2.0-34548559709,2,11
2-s2.0-47249144258,0,13
2-s2.0-84864066856,23,5
2-s2.0-37149016366,5,9
2-s2.0-51549090971,0,16
2-s2.0-38949166768,0,10
2-s2.0-43049159279,0,6
2-s2.0-49349103860,1,9
2-s2.0-47649117568,0,11
2-s2.0-84862277789,4,10
2-s2.0-73449103525,2,9
2-s2.0-38149029316,3,5
2-s2.0-48049111764,1,9
2-s2.0-38549099013,2,6
2-s2.0-52249097263,0,7
2-s2.0-49349093406,2,5
2-s2.0-49549107253,0,11
2-s2.0-38349046752,0,7
2-s2.0-38349018230,6,12
2-s2.0-38049188156,22,9
2-s2.0-38049001002,2,7
2-s2.0-68549133148,2,7
2-s2.0-46449103773,1,7
2-s2.0-67650258258,0,10
2-s2.0-84887005989,0,4
2-s2.0-52249108044,0,8
2-s2.0-84891467388,0,12
2-s2.0-51749091319,0,12
2-s2.0-36348956200,9,22
2-s2.0-54949126437,1,9
2-s2.0-37449032052,34,14
2-s2.0-38949106176,27,12
2-s2.0-47349100530,0,11
2-s2.0-38049055251,0,12
2-s2.0-44949183515,0,14
2-s2.0-35748956437,17,18
2-s2.0-38049144286,0,14
2-s2.0-38349054959,1,13
2-s2.0-38349023119,17,11
2-s2.0-47649125949,0,6
2-s2.0-35549010617,3,13
2-s2.0-48349093471,2,9
2-s2.0-33847709186,16,7
2-s2.0-38149130505,2,12
2-s2.0-50249106514,1,15
2-s2.0-38449123881,32,9
2-s2.0-40749106638,8,12
2-s2.0-38349070967,2,14
2-s2.0-70449133302,5,7
2-s2.0-47849108996,0,6
2-s2.0-47649123810,1,11
2-s2.0-36048978462,16,10
2-s2.0-57649226177,28,6
2-s2.0-84868117026,8,10
2-s2.0-36049034644,25,10
2-s2.0-38049047617,0,9
2-s2.0-36949034073,72,8
2-s2.0-78649854664,0,16
2-s2.0-38449086315,0,18
2-s2.0-49549087708,0,3
2-s2.0-47649114928,5,11
2-s2.0-84856982135,0,11
2-s2.0-38149062674,12,9
2-s2.0-37549061861,1,9
2-s2.0-49749088899,35,4
2-s2.0-45949101220,29,9
2-s2.0-84885994592,0,8
2-s2.0-84873452836,0,9
2-s2.0-38049000321,0,9
2-s2.0-38049169719,3,9
2-s2.0-36749060694,50,12
2-s2.0-38449102249,0,9
2-s2.0-38049001118,17,7
2-s2.0-36849005963,27,7
2-s2.0-38849145635,3,20
2-s2.0-48649091685,0,9
2-s2.0-36448935302,10,12
2-s2.0-38449112249,7,7
2-s2.0-38049112942,0,6
2-s2.0-50249110652,0,9
2-s2.0-37349056510,6,16
2-s2.0-39649111127,17,9
2-s2.0-36049043552,11,10
2-s2.0-38149133798,11,6
2-s2.0-49949094041,4,6
2-s2.0-47649086718,0,7
2-s2.0-84872092923,0,10
2-s2.0-38049047106,27,9
2-s2.0-56449106635,31,11
2-s2.0-36549013593,26,12
2-s2.0-57649232774,2,12
2-s2.0-47649107467,4,23
2-s2.0-34548751838,20,14
2-s2.0-36549072440,31,14
2-s2.0-70350101065,1,5
2-s2.0-77951664424,2,8
2-s2.0-44049089371,0,19
2-s2.0-39049141275,3,6
2-s2.0-34248212337,16,15
2-s2.0-36549045997,14,11
2-s2.0-70449408517,1,20
2-s2.0-56849127431,3,9
2-s2.0-84869856307,0,24
2-s2.0-37749051212,29,13
2-s2.0-62749148224,3,13
2-s2.0-44949152488,4,14
2-s2.0-47649122873,6,11
2-s2.0-49049115527,6,10
2-s2.0-38349072114,1,9
2-s2.0-47649086943,0,17
2-s2.0-47649096218,0,18
2-s2.0-84872000854,0,12
2-s2.0-84871997981,0,7
2-s2.0-47649103734,0,8
2-s2.0-84871968195,0,9
2-s2.0-47649125364,0,17
2-s2.0-47649111428,0,14
2-s2.0-70349901055,0,12
2-s2.0-47649096761,0,11
2-s2.0-84857020969,0,13
2-s2.0-84884503959,0,5
2-s2.0-37849004187,0,10
2-s2.0-47649125999,4,14
2-s2.0-38349001339,1,8
2-s2.0-49049093202,3,10
2-s2.0-49049091934,2,11
2-s2.0-37849044344,1,7
2-s2.0-38349045395,12,12
2-s2.0-47649116839,1,12
2-s2.0-36749056793,23,6
2-s2.0-47349084854,0,11
2-s2.0-47649102098,0,5
2-s2.0-47249090065,0,7
2-s2.0-84885979094,0,5
2-s2.0-47649125138,0,14
2-s2.0-84863036312,0,9
2-s2.0-47649099121,0,8
2-s2.0-47649127668,0,8
2-s2.0-38049093027,0,6
2-s2.0-38149082747,0,10
2-s2.0-38049139314,0,11
2-s2.0-38049038426,0,10
2-s2.0-47649101830,0,11
2-s2.0-47649130866,0,13
2-s2.0-44949192816,0,15
2-s2.0-84878024472,0,11
2-s2.0-38149117944,0,17
2-s2.0-36549009052,3,14
2-s2.0-38049005406,4,12
2-s2.0-47649104914,3,12
2-s2.0-42949165323,2,10
2-s2.0-36949003693,79,18
2-s2.0-47649102922,1,15
2-s2.0-38349003260,1,5
2-s2.0-38149109158,4,11
2-s2.0-47649101316,21,11
2-s2.0-79956298822,3,8
2-s2.0-38449101474,11,9
2-s2.0-49049107912,2,8
2-s2.0-62749171723,2,11
2-s2.0-35948965245,82,23
2-s2.0-33846811579,1,16
2-s2.0-47649132439,0,8
2-s2.0-47649123291,0,10
2-s2.0-39049140378,0,6
2-s2.0-47649085073,0,15
2-s2.0-70350666485,0,6
2-s2.0-84856983453,0,8
2-s2.0-84886001578,0,6
2-s2.0-38349044403,0,14
2-s2.0-57649207940,0,9
2-s2.0-67649951520,0,8
2-s2.0-47649128759,0,11
2-s2.0-84886039310,0,10
2-s2.0-49049100661,1,10
2-s2.0-47649114093,3,12
2-s2.0-84886053679,10,9
2-s2.0-49349105909,2,17
2-s2.0-47649132793,5,13
2-s2.0-38049033443,5,8
2-s2.0-38049080220,11,7
2-s2.0-43849093158,1,10
2-s2.0-84886012461,14,10
2-s2.0-38049083742,4,10
2-s2.0-36549003111,91,9
2-s2.0-38349006857,1,15
2-s2.0-60849115679,1,10
2-s2.0-84855547055,1,10
2-s2.0-47649083826,3,7
2-s2.0-47649086181,8,12
2-s2.0-38149129421,8,11
2-s2.0-38149058219,2,8
2-s2.0-38049057299,4,12
2-s2.0-38949102609,23,7
2-s2.0-47649100510,12,7
2-s2.0-84863046228,1,9
2-s2.0-70350337370,1,7
2-s2.0-43949128394,2,14
2-s2.0-47649091429,4,14
2-s2.0-47649132809,5,12
2-s2.0-47649112463,2,8
2-s2.0-47649107469,1,12
2-s2.0-84871232175,0,12
2-s2.0-47649106725,0,6
2-s2.0-58149236461,0,9
2-s2.0-84856981088,0,11
2-s2.0-67650258245,0,10
2-s2.0-48149108393,0,10
2-s2.0-67650504040,0,8
2-s2.0-47649109752,0,5
