,Author Keyword,eID,Abbreviation,Code,Text
35,"['3D structure', 'Aeromonas hydrophila', 'Enzyme activity', 'Ferredoxin-NADP+ reductase (FNR)', 'Protein purification', 'Soluble expression']",2-s2.0-84894379610,COMP,1700,Computer Science (all)
36,"['Fas', 'miR-23', 'Radiation carcinogenesis', 'Radiation induced thymic lymphoma']",2-s2.0-84890487440,MATH,2614,Theoretical Computer Science
37,"['Benchmarking', 'EEG', 'Machine learning', 'Neuroscience', 'Python', 'Signal processing', 'Visualization', 'YAML']",2-s2.0-84891553924,COMP,1700,Computer Science (all)
38,"['Bioinformatics', 'Discontinuous B cell epitope', 'HER2 receptor', 'Peptide vaccine', 'T-cell epitope']",2-s2.0-84890494156,MATH,2614,Theoretical Computer Science
39,"['AND/OR search', 'Bayesian networks', 'bucket-elimination', 'conditioning', 'constraint networks', 'cycle-cutset', 'graphical models', 'induced-width', 'inference', 'knowledge representation', 'loop-cutset', 'Markov networks', 'pseudo-tree', 'reasoning', 'treewidth', 'variable-elimination']",2-s2.0-84891808231,AGRI,1106,Food Science
40,"['Cochlea', 'Deafness', 'Inner ear', 'MicroRNAs', 'Vestibule']",2-s2.0-84891138082,BIOC,1305,Biotechnology
41,"['Fungal virulence', 'Zap transcription factor', 'Zinc deprivation', 'Zinc metabolism', 'Zinc ZIP transporters']",2-s2.0-84897925794,IMMU,2402,Applied Microbiology and Biotechnology
42,"['Fur', 'Hem', 'Heme', 'Hemin', 'Hemoglobin', 'Iron', 'Pathogens', 'Regulation']",2-s2.0-84891654662,PHAR,3003,Pharmaceutical Science
43,"['Clonorchis sinensis', 'Dendritic cell', 'Excretory/secretory product', 'Immune modulation', 'RNASET2', 'T2 ribonuclease']",2-s2.0-84890672680,BIOC,1305,Biotechnology
44,"['Copper', 'Cu+-ATPases', 'Homeostasis', 'Metallochaperones', 'Metalloenzymes', 'Transmembrane transport']",2-s2.0-84897925976,BIOC,1311,Genetics
45,NaN,2-s2.0-84893466609,BIOC,1311,Genetics
46,"['Biological network', 'Signal transduction analysis', 'Simulation', 'Systems biology']",2-s2.0-84890507990,BIOC,1303,Biochemistry
47,NaN,2-s2.0-84893439350,BIOC,1312,Molecular Biology
48,"['Database', 'Flowers', 'Fruit', 'gBrowse', 'RNA-seq', 'Rosaceae', 'Strawberry', 'Transcriptome']",2-s2.0-84890731962,COMP,1706,Computer Science Applications
49,"['Bioinformatics', 'FPGA implementation', 'Pattern matching', 'Sequence alignment']",2-s2.0-84890421523,COMP,1703,Computational Theory and Mathematics
50,"['developmental neural toxicity', 'human pluripotent stem cells', 'machine learning', 'Microphysiological Systems initiative', 'three-dimensional hydrogel culture']",2-s2.0-84891351756,MATH,2605,Computational Mathematics
51,"['Cocaine', 'Conditioned place preference', 'Hippocampus', 'Microarray', 'microRNA']",2-s2.0-84890542891,COMP,1712,Software
52,NaN,2-s2.0-84891129169,COMP,1702,Artificial Intelligence
53,NaN,2-s2.0-84890455442,COMP,1709,Human-Computer Interaction
54,"['Bioinformatics', 'Networks', 'Proteomics', 'Systems biology']",2-s2.0-84901380015,AGRI,1107,Forestry
55,NaN,2-s2.0-84893420223,ENVI,2302,Ecological Modeling
56,NaN,2-s2.0-84890952588,ENVI,2303,Ecology
57,NaN,2-s2.0-84893364380,COMP,1710,Information Systems
58,"['blood-brain barrier', 'brain-on-a-chip', 'cerebral spinal fluid', 'cytomegalovirus', 'microfluidic devices', 'microphysiological systems', 'neuropharmacology', 'neurovascular unit', 'pericytes']",2-s2.0-84891367431,COMP,1700,Computer Science (all)
59,"['Bioinformatics', 'Genomics', 'Metabolomics', 'Preclinical diagnostics', 'Prediction', 'Prevention', 'Proteomics']",2-s2.0-84890364186,MATH,2614,Theoretical Computer Science
60,"['Grid computing', 'Sequence alignment.', 'Spliced alignment tool']",2-s2.0-84890387274,COMP,1700,Computer Science (all)
61,"['Enhancer', 'Evolution', 'Gene expression', 'Transgenic animals']",2-s2.0-84887493346,MATH,2614,Theoretical Computer Science
62,NaN,2-s2.0-84890350940,MEDI,2707,Complementary and Alternative Medicine
63,"['Bioinformatic analysis', 'Capsicum annuum L.', 'Gene expression profile', 'TAF10', 'TAF13']",2-s2.0-84891136093,BIOC,1313,Molecular Medicine
64,NaN,2-s2.0-84893198150,CHEM,1605,Organic Chemistry
65,NaN,2-s2.0-84890345636,CHEM,1602,Analytical Chemistry
66,"['Diagnostics', 'Prediction', 'Proteomics', 'Translation medicine']",2-s2.0-84890349129,PHAR,3003,Pharmaceutical Science
67,"['Additive spaces', 'Extreme networks', 'Finite metric spaces', 'Gromov minimal fillings', 'Steiner minimal trees', 'Steiner ratio']",2-s2.0-84890352270,PHAR,3004,Pharmacology
68,NaN,2-s2.0-84893181929,PHAR,3002,Drug Discovery
69,NaN,2-s2.0-84893164041,BIOC,1303,Biochemistry
70,NaN,2-s2.0-84893195027,BIOC,1307,Cell Biology
71,NaN,2-s2.0-84893168347,BIOC,1312,Molecular Biology
72,"['Genetic algorithm', 'Grammar inference', 'Helix-helix contact', 'Probabilistic context-free grammar', 'Protein structure prediction']",2-s2.0-84890381348,BIOC,1305,Biotechnology
73,"['Annotation', 'Assembly', 'Blueberry', 'Genomics', 'Mapping', 'Pathway elucidation', 'Sequencing']",2-s2.0-84890307549,BIOC,1311,Genetics
74,"['Molecular mechanism', 'Network module', 'Ovarian cancer', 'Protein-protein interaction network']",2-s2.0-84890307302,COMP,1710,Information Systems
75,NaN,2-s2.0-84892937198,COMP,1710,Information Systems
76,"['Algorithms', 'Computational biology', 'Gene expression', 'Software', 'Statistical analysis']",2-s2.0-84893610185,PHAR,3002,Drug Discovery
77,"['Artificial neural networks', 'Bioinformatics', 'Gene identification', 'Gene-gene interaction', 'Genome wide association study', 'Multilayer perceptron', 'Protein structure prediction']",2-s2.0-84892612958,BIOC,1313,Molecular Medicine
78,NaN,2-s2.0-84890049724,PHAR,3002,Drug Discovery
79,NaN,2-s2.0-84890029722,BIOC,1313,Molecular Medicine
80,"['Approximate sequence matching', 'Buffer management', 'Multicore CPU', 'Parallel processing', 'Suffix tree']",2-s2.0-84890042564,IMMU,2406,Virology
81,NaN,2-s2.0-84890078716,MEDI,2725,Infectious Diseases
82,"['Bioinformatics', 'CUDa', 'GPGPU', 'HPC', 'Infiniband', 'MPI', 'OpenMP']",2-s2.0-84890103334,BIOC,1306,Cancer Research
83,NaN,2-s2.0-84892692070,IMMU,2406,Virology
84,NaN,2-s2.0-84892777856,MEDI,2725,Infectious Diseases
85,NaN,2-s2.0-84892752232,BIOC,1306,Cancer Research
86,"['Envelope protein', 'Iridovirus', 'SGIV', 'Virus assembly', 'VP19']",2-s2.0-84890262751,MEDI,2715,Gastroenterology
87,"['bio-inspired heuristic', 'bioinformatics', 'contact map overlap maximization problem', 'extremal optimization', 'protein structure alignment']",2-s2.0-84890020985,ENVI,2310,Pollution
88,"['Bioinformatics', 'DNA sequences', 'Motif discovery', 'Transcription factors']",2-s2.0-84890093812,BIOC,1311,Genetics
89,NaN,2-s2.0-84888259618,IMMU,2402,Applied Microbiology and Biotechnology
90,NaN,2-s2.0-84890037828,AGRI,1102,Agronomy and Crop Science
91,NaN,2-s2.0-84890101274,BIOC,1314,Physiology
92,"['Bioinformatics', 'Mass spectrometry', 'PRIDE', 'Proteomics']",2-s2.0-84888301228,NEUR,2801,Neuroscience (miscellaneous)
93,NaN,2-s2.0-84900366647,ENGI,2204,Biomedical Engineering
94,"['Distance frequency matrix', 'Phylogenetic tree', 'Protein sequence', 'Similarity']",2-s2.0-84885040364,COMP,1706,Computer Science Applications
95,"['Cuckoo search', 'K-harmonic Means', 'Levy Flight', 'Multiobjective clustering']",2-s2.0-84892854561,MEDI,2730,Oncology
96,"['Cardiomyocyte intracellular organization', 'Energetic metabolism', 'Fetal cardiac programming', 'Intracellular energetic units', 'Intrauterine growth restriction']",2-s2.0-84890384452,BIOC,1306,Cancer Research
97,NaN,2-s2.0-84890333499,MEDI,2739,"Public Health, Environmental and Occupational Health"
98,NaN,2-s2.0-84900352039,MEDI,2713,Epidemiology
99,"['Aging', 'Aplysia californica', 'Bi-directional gene regulation', 'CREB', 'Neuronal circuitry', 'R15 neuron', 'S6 Kinase', 'Signaling networks', 'Single neuron transcriptome']",2-s2.0-84889983272,COMP,1702,Artificial Intelligence
100,NaN,2-s2.0-84897283442,NEUR,2804,Cellular and Molecular Neuroscience
101,NaN,2-s2.0-84889807780,BIOC,1312,Molecular Biology
102,NaN,2-s2.0-84889826440,IMMU,2404,Microbiology
103,"['Bioinformatics', 'Expert consensus', 'Medical informatics', 'Ontology', 'Publication record']",2-s2.0-84889774179,IMMU,2403,Immunology
104,"['Bioinformatics', 'Biomarker', 'Carprofen', 'Cartilage', 'Interleukin 1 β', 'Machine learning', 'Osteoarthritis']",2-s2.0-84889971850,MEDI,2700,Medicine (all)
105,"['Breast cancer', 'Data analysis pipeline', 'microRNA', 'Next generation sequencing', 'Piwi-interacting RNA', 'Small non-coding RNA', 'SmallRNA-Seq']",2-s2.0-84889954757,MEDI,2726,Microbiology (medical)
106,NaN,2-s2.0-84890365665,MEDI,2725,Infectious Diseases
107,"['Bioinformatics', 'E-health', 'Medical informatics']",2-s2.0-84889811858,IMMU,2404,Microbiology
108,"['&essi-invariance group', '(k,l)-anonymity', 'medical information', 'periodical publishing', 'Privacy-preserving']",2-s2.0-84889834071,MEDI,2726,Microbiology (medical)
109,"['CcUGPase', 'Cellulose', 'Jute', 'Quality', 'Southern hybridization', 'UGPase']",2-s2.0-84890115308,MEDI,2725,Infectious Diseases
110,NaN,2-s2.0-84889962039,IMMU,2403,Immunology
111,NaN,2-s2.0-84889984093,MEDI,2700,Medicine (all)
112,"['Concurrent sequential patterns mining', 'Frequent partial orders modelling', 'Knowledge discovery', 'Sequential patterns post-processing', 'Srp', 'Structural relation patterns']",2-s2.0-84889789664,IMMU,2405,Parasitology
113,"['BACTEROIDES', 'Carbohydrate utilization', 'Regulatory network', 'Regulon', 'Transcription factor']",2-s2.0-84889976808,MEDI,2725,Infectious Diseases
114,NaN,2-s2.0-84892573364,IMMU,2404,Microbiology
115,NaN,2-s2.0-84892594044,MEDI,2726,Microbiology (medical)
116,"['Antigenic Region', 'Antigenicity', 'Cytotoxin-Associated Gene (cagA)', 'Helicobacter pylori']",2-s2.0-84889634716,MEDI,2725,Infectious Diseases
117,"['Graph Simplification', 'Interactive visualization', 'Large graph data', 'Representative dominating sub graph', 'Web']",2-s2.0-84889639756,IMMU,2403,Immunology
118,"['Bioinformatics', 'Human', 'Mammary gland', 'Milk', 'Milk processing', 'Milk RNA', 'Rhesus macaque', 'RNA-Seq', 'Transcriptome', 'Transcriptomics']",2-s2.0-84889993599,MEDI,2700,Medicine (all)
119,NaN,2-s2.0-84892598439,AGRI,1100,Agricultural and Biological Sciences (all)
120,"['Festschrift', 'Genetics', 'Human genetics', 'Keratolytic winter erythema', 'Trefor Jenkins']",2-s2.0-84889676164,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
121,NaN,2-s2.0-84889607552,MEDI,2700,Medicine (all)
122,NaN,2-s2.0-84889604093,PHYS,3100,Physics and Astronomy (all)
123,"[""Alzheimer's disease"", 'Brain pathway', 'Functional connectivity', 'Resting-state functional MRI']",2-s2.0-84889565536,AGRI,1100,Agricultural and Biological Sciences (all)
124,"['Bioinformatics (genome) databases', 'Classification and feature extraction', 'Stochastic processes', 'Time series analysis']",2-s2.0-84889608240,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
125,"['Cohesive subgraphs', 'Connectivity', 'Graphs', 'Maximal k-edge-connected subgraph', 'Random contraction', 'Vertex clusters']",2-s2.0-84889584737,MEDI,2700,Medicine (all)
126,"['Log event', 'Similarity search', 'Textual sequence']",2-s2.0-84889597215,AGRI,1110,Plant Science
127,NaN,2-s2.0-84892389788,ENGI,2200,Engineering (all)
128,"['Algorithms', 'DBMS', 'MCMC', 'Microarray', 'Variable selection']",2-s2.0-84889587726,BIOC,1301,"Biochemistry, Genetics and Molecular Biology (miscellaneous)"
129,"['ANGPTL4', 'Breast Cancer', 'SMAD3', 'TGFβ', 'WWOX']",2-s2.0-84889872051,BIOC,1313,Molecular Medicine
130,"['Combination drug', 'Drug effect', 'Multi-scale modeling', 'Petri Nets', 'Rule-based simulation', 'Type 2 diabetes', 'Whole-body simulation']",2-s2.0-84889568487,BIOC,1307,Cell Biology
131,"['Drug named entity recognition', 'Information extraction']",2-s2.0-84889610386,MEDI,2701,Medicine (miscellaneous)
132,"['bioinformatics', 'data integration', 'gene expression', 'image processing']",2-s2.0-84889590290,MEDI,2700,Medicine (all)
133,"['Information extraction', 'Medical information retrieval']",2-s2.0-84889599478,BIOC,1308,Clinical Biochemistry
134,"['Breast cancer', 'Gene selection', 'Prostate cancer', 'RNA-seq']",2-s2.0-84889600478,BIOC,1312,Molecular Biology
135,"['Bioinformatics', 'Cucumber', 'MLO', 'Powdery mildew']",2-s2.0-84890376961,BIOC,1307,Cell Biology
136,"['Bioinformatics', 'Debugging', 'Explanation', 'Ontologies', 'OWL', 'Semantic Web']",2-s2.0-84889578521,MEDI,2704,Biochemistry (medical)
137,"['Clinical abbreviation', 'Clinical documentation system', 'Medical language processing', 'Real time', 'Word sense disambiguation']",2-s2.0-84889603437,MEDI,2712,"Endocrinology, Diabetes and Metabolism"
138,"['Algorithms', 'Design', 'Experimentation', 'Management', 'Performance', 'Security']",2-s2.0-84889579618,MEDI,2736,Pharmacology (medical)
139,"['Cognitive science', 'Medical informatics applications', 'Natural language processing']",2-s2.0-84889584738,BIOC,1311,Genetics
140,"['3D zernike descriptor', 'Ligand binding pocket', 'Pocket comparison', 'Protein surface shape', 'Structure-based function prediction']",2-s2.0-84889560239,BIOC,1312,Molecular Biology
141,NaN,2-s2.0-84892404109,AGRI,1105,"Ecology, Evolution, Behavior and Systematics"
142,"['B3GALTL gene', 'Exon skipping', 'Functional analysis', 'Peters plus syndrome']",2-s2.0-84885383309,BIOC,1311,Genetics
143,NaN,2-s2.0-84892411447,BIOC,1307,Cell Biology
144,NaN,2-s2.0-84890325085,AGRI,1100,Agricultural and Biological Sciences (all)
145,NaN,2-s2.0-84892385285,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
146,NaN,2-s2.0-84890190202,IMMU,2400,Immunology and Microbiology (all)
147,NaN,2-s2.0-84891005569,AGRI,1100,Agricultural and Biological Sciences (all)
148,NaN,2-s2.0-84891906764,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
149,"['Data acquisition', 'Health data management', 'Lab on a chip', 'Public health informatics', 'Signal molecule profiling']",2-s2.0-84890454303,MEDI,2700,Medicine (all)
150,"['Breast neoplasms', 'MicroRNAs', 'Neoplasm metastasis', 'Systems biology']",2-s2.0-84889035073,BIOC,1303,Biochemistry
151,NaN,2-s2.0-84889671824,BIOC,1307,Cell Biology
152,"['correlation visualization', 'Graph visualization', 'multi-variate graph data']",2-s2.0-84888996854,BIOC,1312,Molecular Biology
153,"['cryptographic protocols', 'genomics', 'privacy']",2-s2.0-84889057699,AGRI,1100,Agricultural and Biological Sciences (all)
154,NaN,2-s2.0-84889854589,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
155,"['Endometrial carcinoma', 'Invasion', 'miR-204-5p', 'Prognosis', 'Proliferation', 'Regulatory circuitry', 'STAT3', 'TrkB']",2-s2.0-84889766586,MEDI,2700,Medicine (all)
156,"['Binding site', 'Porcine', 'PRRSV', 'Sialic acid', 'Sialoadhesin']",2-s2.0-84890221437,BIOC,1301,"Biochemistry, Genetics and Molecular Biology (miscellaneous)"
157,"['Bioinformatics', 'Genome-wide association', 'Genotype-phenotype prioritization', 'Metabolite', 'Pathway databases']",2-s2.0-84889858142,BIOC,1313,Molecular Medicine
158,"['Authentication', 'Health Information Systems (HIS)', 'Information Security', 'Interoperability', 'Mobile agent', 'Role-Based Access Control (RBAC)']",2-s2.0-84889049143,BIOC,1307,Cell Biology
159,"['Bioinformatics', 'Denoising', 'Non-convex semantic embedding (NCSE)', 'Protein-protein interaction (PPI)']",2-s2.0-84884142621,MEDI,2701,Medicine (miscellaneous)
160,NaN,2-s2.0-84888996702,MEDI,2700,Medicine (all)
161,"['Graph clustering', 'MapReduce algorithm', 'metagenomics', 'protein family identification', 'Shingling heuristic']",2-s2.0-84889023361,COMP,1705,Computer Networks and Communications
162,"['Bioinformatics', 'Clustering', 'Framework mapping', 'Radiation Hybrid Mapping']",2-s2.0-84889037106,COMP,1712,Software
163,"['Isobaric tags for relative and absolute quantitation', 'Lung neoplasms', 'Membrane proteins', 'Neoplasm metastasis']",2-s2.0-84889006211,AGRI,1100,Agricultural and Biological Sciences (all)
164,NaN,2-s2.0-84889031223,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
165,"['Ant colony optimization', 'Computational biology', 'Functional module detection', 'Multi-agent evolutionary', 'Protein-protein interaction network']",2-s2.0-84884145342,MEDI,2700,Medicine (all)
166,"['Begomoviruses', 'Cotton leaf curl disease', 'Gene silencing', 'Pathogen-derived resistance', 'Replication-associated protein']",2-s2.0-84889066390,MATH,2604,Applied Mathematics
167,NaN,2-s2.0-84889677044,MATH,2611,Modeling and Simulation
168,NaN,2-s2.0-84891935788,MATH,2614,Theoretical Computer Science
169,NaN,2-s2.0-84892582593,COMP,1710,Information Systems
170,"['Arabidopsis', 'Gene duplication', 'Gene network', 'Genome annotation', 'Paralog genes', 'Single copy genes', 'Singleton']",2-s2.0-84901335695,BIOC,1311,Genetics
171,NaN,2-s2.0-84892595007,BIOC,1312,Molecular Biology
172,NaN,2-s2.0-84889077347,AGRI,1100,Agricultural and Biological Sciences (all)
173,"['Gene regulatory networks', 'Global network-based measures', 'Local network-based measures', 'Metrics for assessing ensemble datasets', 'R package for the network-based measures']",2-s2.0-84893596910,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
174,NaN,2-s2.0-84888876464,MEDI,2700,Medicine (all)
175,"['black truffle', 'functional annotation', 'fungal proteomics', 'organoleptic', 'proteome']",2-s2.0-84890040987,MULT,1000,Multidisciplinary
176,"['breast cancer', 'DCIS', 'fibroadenoma', 'invasive carcinoma', 'iTRAQ', 'mass spectrometry', 'proteomics', 'tissue microarray', 'Western blotting']",2-s2.0-84890100187,MEDI,2700,Medicine (all)
177,"['fertilization', 'human sperm', 'N-linked glycoproteome', 'proteomics', 'sperm-egg interaction']",2-s2.0-84890111833,MEDI,2700,Medicine (all)
178,"['bioinformatics', 'electron transfer dissociation', 'endogenous peptide', 'neuropeptide', 'neuropeptidomics', 'peptide identification', 'peptidogenomics', 'peptidomics', 'tandem mass spectrometry']",2-s2.0-84890060105,MATH,2600,Mathematics (all)
179,"['Differentially expressed genes', 'Function and pathway annotation', 'Functional modules', 'Gene-gene interaction network']",2-s2.0-84888995698,AGRI,1100,Agricultural and Biological Sciences (all)
180,"['cardiac', 'Groucho', 'heart development', 'label-free MS/MS', 'repression complex', 'T-box', 'Tbx18', 'Tbx20', 'TLE3']",2-s2.0-84890098259,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
181,"['Arithmetical skill', 'Fiber tracking', 'Left intraparietal sulcus', 'Structure-behavior correlation', 'Voxel-based morphometry']",2-s2.0-84889762915,MEDI,2700,Medicine (all)
182,"['Horizontal gene transfer', 'Host specificity', 'Ralstonia solanacearum', 'Selection', 'Type III effector']",2-s2.0-84889049027,AGRI,1100,Agricultural and Biological Sciences (all)
183,"['bioinformatics', 'computational proteomics', 'mass fingerprinting', 'mass spectrometry', 'retention time prediction', 'shotgun proteomics']",2-s2.0-84890029812,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
184,NaN,2-s2.0-84894370723,MEDI,2700,Medicine (all)
185,"['degradation', 'folding', 'GABAC receptor', 'heat shock response', 'interactome', 'proteostasis', 'tandem mass spectrometry', 'trafficking', 'unfolded protein response']",2-s2.0-84890033475,AGRI,1100,Agricultural and Biological Sciences (all)
186,"['bottom-up proteomics', 'mass spectrometry', 'middle-down proteomics', 'MS', 'proteomics', 'top-down proteomics']",2-s2.0-84890055825,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
187,NaN,2-s2.0-84891945320,MEDI,2700,Medicine (all)
188,"['Congenital hypothyroidism', 'Deletion', 'Inversion', 'Mutation', 'Thyroglobulin gene']",2-s2.0-84883547832,AGRI,1100,Agricultural and Biological Sciences (all)
189,NaN,2-s2.0-84891945822,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
190,NaN,2-s2.0-84890125390,MEDI,2700,Medicine (all)
191,"['DArT marker', 'Genetic map', 'Syntheny', 'Wheat']",2-s2.0-84889042750,COMP,1703,Computational Theory and Mathematics
192,"['Bioinformatics', 'ChIP-Seq', 'NGS analysis', 'Peak detection']",2-s2.0-84888806690,MATH,2604,Applied Mathematics
193,"['cDNA library preparation', 'Platform-independent RNA-seq', 'RNA-seq']",2-s2.0-84889053922,BIOC,1312,Molecular Biology
194,"['MEPI Mozambique', 'Research', 'Research capacity building in Mozambique']",2-s2.0-84889008968,BIOC,1315,Structural Biology
195,"['allergenicity', 'antifungal proteins', 'biosafety', 'genetic engineering', 'mutant Allium sativum leaf agglutinin']",2-s2.0-84889871926,BIOC,1311,Genetics
196,"['3D substructure matching', 'Drug-discovery', 'Molecular recognition', 'Structural bioinformatics']",2-s2.0-84888607543,BIOC,1313,Molecular Medicine
197,NaN,2-s2.0-84888813167,MEDI,2716,Genetics (clinical)
198,"['Base classifier', 'Bioinformatics', 'Ensemble', 'Learning', 'Protein Discrimination']",2-s2.0-84888603539,MEDI,2730,Oncology
199,"['Cancer', 'database', 'microarray', 'next generation sequencing', 'system biology']",2-s2.0-84888589467,MEDI,2729,Obstetrics and Gynecology
200,NaN,2-s2.0-84891811683,AGRI,1100,Agricultural and Biological Sciences (all)
201,NaN,2-s2.0-84888814874,BIOC,1300,"Biochemistry, Genetics and Molecular Biology (all)"
202,"['GO term enrichment', 'miR-184 expression', 'Ovaries', 'Pregnant goat']",2-s2.0-84888399614,MEDI,2700,Medicine (all)
203,"['Database semantics', 'Genetics models', 'In-silico experimentation', 'Semantic modeling']",2-s2.0-84888427290,AGRI,1105,"Ecology, Evolution, Behavior and Systematics"
204,"['Chagas disease', 'Cytoplasmic repetitive antigen', 'Epitopes', 'Flagellar repetitive antigen', 'Peptide-ELISA', 'Spot-synthesis', 'Trypanosoma cruzi']",2-s2.0-84888816173,COMP,1706,Computer Science Applications
205,"['Computational Methods', 'Mathematical Biology', 'Multi-Scale Models', 'Systems Biology']",2-s2.0-84888418320,BIOC,1311,Genetics
